path,label,class_name,subset,split_id,file_name
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4.avi,0,brush_hair,unused,1,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/brush_hair/Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_fr_goo_0.avi,0,brush_hair,unused,1,Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_fr_goo_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/brush_hair/Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_le_goo_1.avi,0,brush_hair,unused,1,Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_le_goo_1.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/brush_hair/Slave_brush_my_hair_brush_hair_u_cm_np2_le_goo_0.avi,0,brush_hair,unused,1,Slave_brush_my_hair_brush_hair_u_cm_np2_le_goo_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/brush_hair/brushing_jrs_hair_brush_hair_u_cm_np2_le_goo_0.avi,0,brush_hair,unused,1,brushing_jrs_hair_brush_hair_u_cm_np2_le_goo_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/brush_hair/red_head_brush_hair_u_cm_np1_ba_goo_0.avi,0,brush_hair,unused,1,red_head_brush_hair_u_cm_np1_ba_goo_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/cartwheel/Cartwheel_Competition_cartwheel_f_cm_np1_ri_med_1.avi,1,cartwheel,unused,1,Cartwheel_Competition_cartwheel_f_cm_np1_ri_med_1.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/cartwheel/Cartwheel_Contest_cartwheel_f_cm_np2_fr_med_0.avi,1,cartwheel,unused,1,Cartwheel_Contest_cartwheel_f_cm_np2_fr_med_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/cartwheel/Ein_guter_Radschlag_cartwheel_f_nm_np1_le_med_1.avi,1,cartwheel,unused,1,Ein_guter_Radschlag_cartwheel_f_nm_np1_le_med_1.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/cartwheel/Gymnastics_-_How_to_Do_a_Perfect_Cartwheel_cartwheel_f_cm_np1_ri_med_0.avi,1,cartwheel,unused,1,Gymnastics_-_How_to_Do_a_Perfect_Cartwheel_cartwheel_f_cm_np1_ri_med_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/cartwheel/How_to_do_a_Cartwheel_cartwheel_f_nm_np1_ri_med_0.avi,1,cartwheel,unused,1,How_to_do_a_Cartwheel_cartwheel_f_nm_np1_ri_med_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/cartwheel/Jessica_Heinz_-_Leverkusen_Cup_2006__floor_routine_cartwheel_f_cm_np1_le_med_2.avi,1,cartwheel,unused,1,Jessica_Heinz_-_Leverkusen_Cup_2006__floor_routine_cartwheel_f_cm_np1_le_med_2.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/cartwheel/jenny_~_rad_cartwheel_f_cm_np1_ri_med_0.avi,1,cartwheel,unused,1,jenny_~_rad_cartwheel_f_cm_np1_ri_med_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/catch/Handball_Passtraining_in_der_Zweiergruppe_(1)_catch_f_cm_np1_le_bad_1.avi,2,catch,unused,1,Handball_Passtraining_in_der_Zweiergruppe_(1)_catch_f_cm_np1_le_bad_1.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/catch/How_to_Pass_in_Basketball_catch_f_cm_np1_le_bad_0.avi,2,catch,unused,1,How_to_Pass_in_Basketball_catch_f_cm_np1_le_bad_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/chew/Blowing_Bubbles!_chew_h_nm_np1_fr_med_0.avi,3,chew,unused,1,Blowing_Bubbles!_chew_h_nm_np1_fr_med_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/chew/Fun_Chewing_Gum!_chew_h_nm_np2_fr_med_3.avi,3,chew,unused,1,Fun_Chewing_Gum!_chew_h_nm_np2_fr_med_3.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/chew/Loud_Chewing_chew_u_cm_np1_fr_med_2.avi,3,chew,unused,1,Loud_Chewing_chew_u_cm_np1_fr_med_2.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/chew/Me_chewing_hubba_bubba_bubble_gum_chew_h_nm_np1_fr_bad_0.avi,3,chew,unused,1,Me_chewing_hubba_bubba_bubble_gum_chew_h_nm_np1_fr_bad_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/chew/Tara_Bush_blowing_bubbles_5_chew_h_nm_np1_le_goo_1.avi,3,chew,unused,1,Tara_Bush_blowing_bubbles_5_chew_h_nm_np1_le_goo_1.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/chew/Wanda_Su_and_niece__T__blowing_bubbles_chew_u_nm_np2_fr_med_0.avi,3,chew,unused,1,Wanda_Su_and_niece__T__blowing_bubbles_chew_u_nm_np2_fr_med_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/chew/Wanda_Su_and_niece__T__blowing_bubbles_chew_u_nm_np2_fr_med_1.avi,3,chew,unused,1,Wanda_Su_and_niece__T__blowing_bubbles_chew_u_nm_np2_fr_med_1.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/chew/chewing_bubble_gum_chew_h_cm_np1_ri_med_1.avi,3,chew,unused,1,chewing_bubble_gum_chew_h_cm_np1_ri_med_1.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/clap/Boom__Snap__Clap!_(Challenge)_clap_u_nm_np1_fr_med_0.avi,4,clap,unused,1,Boom__Snap__Clap!_(Challenge)_clap_u_nm_np1_fr_med_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/clap/Deutscher_Klatsch_-_The_Clap_-_Lexy_clap_f_cm_np1_fr_bad_10.avi,4,clap,unused,1,Deutscher_Klatsch_-_The_Clap_-_Lexy_clap_f_cm_np1_fr_bad_10.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/clap/Deutscher_Klatsch_-_The_Clap_-_Lexy_clap_u_cm_np1_fr_med_0.avi,4,clap,unused,1,Deutscher_Klatsch_-_The_Clap_-_Lexy_clap_u_cm_np1_fr_med_0.avi
/Users/linshenhao/Desktop/Deep Learning /HMDB project/dataset/hmdb51/clap/Deutscher_Klatsch_-_The_Clap_-_Lexy_clap_u_cm_np1_fr_med_6.avi,4,clap,unused,1,Deutscher_Klatsch_-_The_Clap_-_Lexy_clap_u_cm_np1_fr_med_6.avi
